id,latitude,longitude,power_kw,connector_type,address
2656686171,55.6965806,37.8524035,50,2,
2914048737,55.5821559,37.7068761,50,1,
2914048739,55.7485607,37.7082921,50,2,
2914048740,55.8328857,37.4814863,150,1,
3775034863,55.73446,37.6358114,50,2,
4143311990,55.6951211,37.3801689,150,Unknown,Tesla Supercharger
4489999489,55.7630944,37.6098306,50,Unknown,
4523495753,55.762403,37.6002229,50,Unknown,
4675039623,55.7566653,37.6074628,50,Unknown,
4703123846,55.761987,37.617995,50,3,
4714015491,55.7455748,37.6343693,50,Unknown,
4714015492,55.7455203,37.6345036,50,Unknown,
4714015494,55.7454008,37.6347978,50,Unknown,
4764138228,55.770578,37.567766,50,Unknown,
4776464330,55.7117458,37.6200503,150,Unknown,
4776464381,55.711742,37.6202195,50,Unknown,
4902990461,55.7557797,37.6280112,50,1,
5001194553,55.6002936,37.634792,50,Unknown,EMI
5149643982,55.7536721,37.6409277,50,Unknown,
5221942790,55.7470627,37.5991379,50,Unknown,
5270381569,55.7600254,37.6550093,50,Unknown,
5294751983,55.765074,37.5978736,50,Unknown,
5418444344,55.756956,37.6440954,50,Unknown,
5511434092,55.759618,37.6415192,50,Unknown,
5754223812,55.7393232,37.6334973,50,Unknown,
5773235095,55.7618281,37.606985,50,Unknown,
5923035838,55.7610722,37.6462965,50,Unknown,
6001524476,55.8234148,37.6371208,50,Unknown,
6001524477,55.8228462,37.6360304,50,Unknown,
6067073857,55.9085449,37.4154177,150,Unknown,
6067073858,55.9085333,37.4153852,150,Unknown,
6251478417,55.7673351,37.5646183,50,Unknown,
6384348199,55.7390234,37.5954039,50,Unknown,
6409353152,55.7410702,37.6182349,50,1,
6442588812,55.7544041,37.646956,50,Unknown,
6473962980,55.7479864,37.6329461,50,Unknown,
6473962981,55.7479928,37.6329193,50,Unknown,
6665426685,55.6946756,37.3872029,150,Unknown,
6747197009,55.7471527,37.6259737,50,Unknown,
6747197010,55.7472059,37.6259563,50,Unknown,
6751163511,55.7473388,37.6290576,50,Unknown,
7034470704,55.773635,37.6129644,50,Unknown,
7034470705,55.7736388,37.6130636,50,Unknown,
7044984332,55.7635994,37.5741126,150,Unknown,
7044984333,55.7636567,37.5741059,50,Unknown,
7063367761,55.8232042,37.6367124,50,Unknown,
7063367766,55.8230238,37.6363724,50,Unknown,
7218189500,55.7279839,37.5679716,150,Unknown,
7566874003,55.8444581,37.584376,50,Unknown,
7733937141,55.877315,37.6550612,50,Unknown,
7783777599,55.7479325,37.5950626,50,Unknown,
7799623225,55.7143113,37.5937315,50,2,
7835351085,55.7421428,37.6058149,50,Unknown,
8018603385,55.6587477,37.6283833,50,Unknown,
8042288567,55.7568877,37.6378848,50,Unknown,
8168878321,55.786142,37.6369121,150,Unknown,
8168878322,55.7861397,37.6369571,150,Unknown,
8209007835,55.7755932,37.6725832,150,Unknown,
8237670185,55.8374332,37.6555736,50,yes,
8237670186,55.8643112,37.6742722,150,yes,МГТС
8237731310,55.8182032,37.5795502,50,yes,МГТС
8241760055,55.5997389,37.6020922,50,yes,
8309112470,55.6529357,37.645565,150,Unknown,
8361264729,55.7883438,37.6399467,150,Unknown,
8521574255,55.9475831,37.443556,50,1,Комплекс Т
8608386499,55.744191,37.6630345,150,Unknown,
8608386500,55.7442157,37.6631005,50,Unknown,
8879678221,55.7871,37.6327684,150,Unknown,
9067369754,55.7044254,37.6576289,150,2,Энергия Москвы №107
9102074310,55.7044046,37.6584979,50,Unknown,Мосэнерго
9215595822,55.8344486,37.3575959,150,Unknown,PlugMe
9276085157,55.8875181,37.6358449,50,1,
9348573701,55.5672657,37.5719736,50,Unknown,
9364492029,55.6980029,37.5029169,150,Unknown,
9394512600,55.844087,37.4822622,50,Unknown,
9404946869,55.7020891,37.6892182,50,Unknown,
9409853948,55.7515385,37.6481568,50,Unknown,
9447164950,55.8503358,37.4379018,50,1,
9449266961,55.8938895,37.3963049,50,Unknown,Энергия Москвы
9449266963,55.8919418,37.3990461,150,Unknown,Энергия Москвы
9449266964,55.8650812,37.4680124,50,Unknown,Энергия Москвы
9529542867,55.7241888,37.6893888,50,2,
9573136624,55.712441,37.6196323,150,Unknown,Яндекс заправки
9645148761,55.7456423,37.658338,50,Unknown,
9655365406,55.7925228,37.5629894,50,Unknown,
9726734704,55.769775,37.6262145,50,Unknown,
9757195240,55.7664411,37.6544503,50,Unknown,
9763454541,55.7431251,37.4128754,50,1,
9773243485,55.7596104,37.663296,50,Unknown,Green drive
9782471777,55.8256915,37.4521646,50,1,
9790594682,55.7771527,37.6356746,50,Unknown,
9838230594,55.6649127,37.4847274,50,Unknown,Volta
9856341290,55.7524298,37.5312978,150,Unknown,
9856341291,55.7523747,37.5312817,150,Unknown,
9917536817,55.9205103,37.3951065,50,Unknown,Sitronics Electro
9929354066,55.8213669,37.3859551,50,Unknown,Скорость света
9981833346,55.8176077,37.7129706,150,Unknown,
9995076029,55.7706923,37.6305731,50,Unknown,
10012952103,55.8219333,37.5141527,150,Unknown,
10039769854,55.7386414,37.5387396,150,Unknown,
10052886818,55.7950558,37.7118748,150,1,
10121187991,55.7409292,37.7682955,150,Unknown,297
10237447857,55.7126109,37.522298,50,Unknown,
10277163546,55.7364786,37.6553912,50,2,
10277163547,55.7364352,37.6554273,50,2,
10287753253,55.7079274,37.6602086,50,1,
10663378839,55.9085678,37.4079126,150,1,
10753742207,55.7105641,37.673053,50,1,
10759421792,55.7129758,37.6588734,50,1,
10779210744,55.7628592,37.633787,50,Unknown,
10832358321,55.7741775,37.8257133,150,2,
10860615408,55.7431349,37.5709424,50,Unknown,
10919497458,55.8609054,37.416559,50,2,
10924954433,55.7087328,37.6618174,150,1,
10925262344,55.759282,37.8505577,50,Unknown,
10973299325,55.7092727,37.5855154,50,1,
10984913621,55.7447575,37.4968169,150,Unknown,
10990428721,55.6755923,37.8364813,50,1,
11007039814,55.8406876,37.3539387,150,Unknown,
11026330139,55.7124401,37.3755721,50,Unknown,Punkt E
11047290906,55.7167635,37.7746851,150,2,
11047292325,55.718408,37.7847474,150,2,
11048591441,55.7853099,37.8795617,50,Unknown,
11150207098,55.7480504,37.6760824,150,Unknown,
11232532321,55.6907365,37.6886828,150,2,
11242897455,55.7976532,37.6890231,150,Unknown,
11251512785,55.8349135,37.3939082,150,Unknown,
11271479601,55.8445996,37.3578367,150,Unknown,
11281966047,55.7827703,37.6292279,150,Unknown,
11286340972,55.9292718,37.5199175,50,Unknown,
11356539240,55.8767226,37.5377266,150,Unknown,
11365655097,55.7479525,37.6935084,150,Unknown,
11379425157,55.851481,37.5935948,50,Unknown,
11397740060,55.7624716,37.6623646,150,1,
11508682238,55.7049657,37.639937,50,Unknown,
11627908776,55.708867,37.5932683,150,Unknown,Artis
11630416727,55.816833,37.4640381,150,Unknown,
11638544973,55.8784044,37.5577417,50,Unknown,
11638562132,55.8614703,37.5678214,50,Unknown,
11665411335,55.7868098,37.8824532,150,1,
11668432569,55.8081679,37.5316132,150,yes,Энергия Москвы
11684562460,55.7396978,37.8583099,50,2,
11749485173,55.6803826,37.5960735,150,1,
11750491622,55.7703395,37.5166998,50,Unknown,
11752471165,55.7200104,37.6096967,50,1,
11752527691,55.7127967,37.6329287,50,1,
11766714364,55.7902002,37.5705291,150,Unknown,
11766714365,55.7901052,37.5706995,150,Unknown,
11777950696,55.7200446,37.6097011,50,1,
11777965673,55.7203802,37.6153631,150,1,
11777977767,55.7200896,37.6097195,50,1,
11778016486,55.7191096,37.6003279,150,1,
11778079392,55.7239894,37.6348418,150,1,
11780120738,55.7256189,37.5760388,150,Unknown,
11780182032,55.7232769,37.5725145,50,1,
11780205461,55.7051691,37.5874082,50,1,
11786705284,55.6946876,37.5985102,50,2,
11786705289,55.6939431,37.6079023,50,2,
11787331324,55.6816908,37.5795553,150,2,
11799624330,55.6770624,37.6329549,50,2,
11799628787,55.7033852,37.6436633,50,Unknown,
11799638195,55.7017648,37.6427727,50,Unknown,
11799648699,55.7032638,37.6436224,150,Unknown,
11805882966,55.7043456,37.6577792,50,1,
11813711195,55.7297828,37.659963,50,Unknown,
11841227566,55.7363067,37.6395392,50,1,
11841227567,55.7363542,37.639509,50,1,
11841321801,55.735794,37.6191995,50,Unknown,
11871382661,55.7847831,37.7068385,150,Unknown,
11871382662,55.7847018,37.7068575,150,Unknown,
11968596075,55.79477,37.6191106,50,Unknown,
11968596076,55.7848796,37.6227625,50,Unknown,
11968596077,55.7847748,37.6228255,50,Unknown,
11968596078,55.7846572,37.6229113,50,Unknown,
11972544660,55.8065804,37.519362,50,2,
11984722719,55.7952966,37.5810783,50,Unknown,
11984821179,55.837356,37.6286144,50,1,
11986404663,55.7144198,37.7965223,150,Unknown,
11991567215,55.849425,37.6425652,50,1,
12001575817,55.746241,37.8556447,50,Unknown,
12015499094,55.7722468,37.8458054,150,Unknown,
12064278233,55.7064691,37.7672224,150,Unknown,
12079980600,55.781103,37.6121397,50,Unknown,
12093819589,55.6838938,37.5498841,150,Unknown,
12104249712,55.6718941,37.5826872,150,Unknown,
12105803137,55.8102184,37.3838353,150,Unknown,
12116487442,55.7183804,37.5539739,150,Unknown,
12116498668,55.7184101,37.5539812,150,Unknown,
12152255615,55.6752601,37.7583281,50,Unknown,
12160555229,55.6865046,37.6736515,50,Unknown,
12175696864,55.7611711,37.8543546,50,1,
12176895901,55.7410071,37.524495,50,Unknown,
